Number	ShortName	FullName
1	ABIEALB	Abies alba
2	ABIE-SP	Abies species
3	ABITABI	Abietinella abietina
4	"ABITA;A"	Abietinella abietina var. abietina
5	"ABITA;H"	Abietinella abietina var. hystricosa
6	ABIT-SP	Abietinella species
7	ABROBER	Abrothallus bertianus
8	ABROCAE	Abrothallus caerulescens
9	ABROCET	Abrothallus cetrariae
10	ABROMIC	Abrothallus microspermus
11	ABROPAR	Abrothallus parmelianus
12	ABROPEY	Abrothallus peyritschii
13	ABROPRO	Abrothallus prodiens
14	ABROUSN	Abrothallus usneae
15	ABRO-SP	Abrothallus species
16	ABSCANN	Absconditella annexa
17	ABSCDEL	Absconditella delutula
18	ABSCFOS	Absconditella fossarum
19	ABSCLIG	Absconditella lignicola
20	ABSCSPH	Absconditella sphagnorum
21	ABSCTRI	Absconditella trivialis
22	ABSC-SP	Absconditella species
23	ABUTTHE	Abutilon theophrasti
24	ABUT-SP	Abutilon species
27	ACARADM	Acarospora admissa
28	ACARATR	Acarospora atrata
29	ACARAUS	Acarospora austriaca
30	ACARBAD	Acarospora badiofusca
31	ACARB-B	Acarospora badiofusca ssp. badiorubra
32	ACARBUL	Acarospora bullata
33	ACARCER	Acarospora cervina
34	"ACARC;C"	Acarospora cervina var. conspersa
35	ACARCOM	Acarospora complanata
36	ACARFRE	Acarospora freyi
37	ACARFUS	Acarospora fuscata
38	ACARGAL	Acarospora gallica
39	ACARGLA	Acarospora glaucocarpa
40	ACARHEP	Acarospora heppii
41	ACARHEU	Acarospora heufleriana
42	ACARHOS	Acarospora hospitans
43	ACARHOT	Acarospora hostilis
44	ACARHUN	Acarospora hungarica
45	ACARIMP	Acarospora impressula
46	ACARINS	Acarospora insolata
47	ACARINT	Acarospora intricata
48	ACARMAC	Acarospora macrospora
49	ACARMEL	Acarospora melaphaca
50	ACARMIS	Acarospora miskoliensis
51	ACARNIT	Acarospora nitrophila
52	"ACARN;P"	Acarospora nitrophila var. praeruptorum
53	"ACARN;S"	Acarospora nitrophila var. suzai
54	ACAROLI	Acarospora oligospora
55	ACARPEL	Acarospora peliscypha
56	ACARPYR	Acarospora pyrenopsoides
57	ACARRUG	Acarospora rugulosa
58	ACARSCA	Acarospora scabrida
59	ACARSIN	Acarospora sinopica
60	ACARSMA	Acarospora smaragdula
61	"ACARS;L"	Acarospora smaragdula var. lesdainii
62	"ACARS;R"	Acarospora smaragdula var. rufescens
63	"ACARS;S"	Acarospora smaragdula var. smaragdula
64	ACARTEN	Acarospora tenuicorticata
