# project_name: Ruderal communities of Liberec
# project_description: Releves from survey of ruderal plant communities found in the town of Liberec (Visnak 1986)
# n_releves: 10
# checklist: cz_dh2012
# rveg_version: 0.1.7
# extra_spec: 
# created: 2026-02-27 19:19:33
# last_change: 2026-02-28 10:17:32
# db_id: 6dd3-049d-7814
"ShortName","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"AEGOPOD_1","0","0","0","0","0","+","0","0","0","0"
"AETUCYN_1","0","1","0","0","0","1","0","0","4","2"
"AGRTSTO_1","0","2","0","0","0","0","0","0","0","0"
"ALOPAEQ_1","0","0","0","0","0","0","0","+","0","0"
"ANAGARV_1","0","0","0","0","0","2","0","0","0","0"
"APERSPI_1","0","0","5","0","0","1","0","0","0","0"
"ARTEVUL_1","0","0","0","0","1","0","0","0","0","4"
"ATRPPAT_1","2°","6","2","2","2","0","0","0","0","0"
"BROMSTE_1","0","0","0","0","0","0","0","1","0","0"
"CAPSBUR_1","3","2","3-4","4","3-4","1","4","3","1","2"
"CERAHOL_1","0","0","0","0","0","0","0","0","1","0"
"CICHINT_1","0","0","0","0","0","+","0","0","0","0"
"CIRSVUL_1","0","0","0","0","0","0","0","+","0","0"
"CONYCAN_1","1°","0","0","0","0","+","0","0","0","2"
"DAUCCAR_1","+","0","0","0","0","0","0","+","0","0"
"ECHICRU_1","1","0","0","4-5","0","0","0","0","0","0"
"ELYMREP_1","0","5","2","2","7","4","0","0","0","0"
"EPIOCIL_1","1","0","0","0","0","0","0","0","0","0"
"EPIOROS_1","0","1","0","0","0","0","0","0","0","0"
"EQUIARV_1","0","0","0","0","0","0","0","0","3","0"
"ERODCIU_1","0","0","0","1-2","0","0","0","0","0","0"
"ERYSCHE_1","0","0","1","0","0","±","0","+","0","1"
"FALLCON_1","0","0","2","3","2","3","0","0","0","0"
"GALI-SP_1","0","0","0","1-2","0","0","0","0","2","1"
"GALPLAD_1","0","0","0","0","0","+","0","0","0","0"
"GALPTET_1","0","0","2","0","0","0","2","0","0","0"
"GALUAPA_1","0","0","0","0","0","0","+","0","0","0"
"GERAPUS_1","0","0","0","0","0","1","0","0","0","0"
"GNAPULI_1","0","1","0","0","0","0","1","0","0","0"
"HOLCMOL_1","0","0","0","1","0","0","0","0","0","0"
"CHENALB_1","0","3","1","2-3","4","4","2","5-6","0","0"
"CHENPOL_1","1","0","0","0","0","+","0","3","0","3"
"CHENRUB_1","0","0","0","+°","0","0","0","0","0","0"
"JUNCBUF_1","1","0","0","0","0","0","0","0","0","0"
"LACTSER_1","0","0","0","0","0","0","0","0","0","3-4"
"LAPSCOM_1","0","0","2-3°","0","0","1","2","0","0","0"
"LOLIMUL_1","1","0","3-4","0","0","0","0","0","0","0"
"LOLIPER_1","0","2","0","0","0","2","0","0","6","0"
"MATRDIS_1","2","3","4","0","0","6","7","2","1","0"
"MATRCHA_1","3","0","0","0","0","4","4-5","0","0","0"
"MEDISAT_1","0","0","0","0","0","0","0","1","0","0"
"MYOOAQU_1","0","0","0","2","0","0","0","0","0","0"
"MYOSARV_1","0","2","2","0","0","0","4","0","0","0"
"PAPADUB_1","0","0","0","+","0","0","0","0","0","0"
"PAPARHO_1","0","0","0","0","0","0","0","4","0","0"
"PERSLAP_1","5","2","0","2","2","0","3","3","0","0"
"PERSMAC_1","2","2","0","0","0","0","0","0","0","0"
"PHLEPRA_1","0","0","0","0","0","2","0","0","0","0"
"PISUSAT_1","0","0","1","0","0","0","0","0","0","0"
"PLAALAN_1","0","0","0","0","0","1","0","1","0","0"
"PLAAMAJ_1","4-5","3","0","5-6","0","+","0","1","0","0"
"POA ANN_1","3","2","0","6","0","0","1","2","1","2"
"POA PAL_1","0","2","0","0","0","0","0","0","0","0"
"POLUAVI_1","3","9","1","0","3","3","2","5","1","0"
"POTEANS_1","0","0","0","0","0","0","0","0","2","0"
"POTEREC_1","0","0","0","+","0","0","0","0","0","0"
"RANUREP_1","0","1","0","0","0","0","1","1","0","0"
"RAPHRAP_1","0","0","1","0","4","0","1","0","0","0"
"RUMEOBT_1","0","1","0","3","0","0","0","0","0","0"
"SENEVUL_1","0","0","0","0","0","1","0","0","1","1"
"SINPARV_1","0","0","3","0","0","0","0","1","0","0"
"SISYOFF_1","0","1","0","1","1","2-3","+","1","0","0"
"SOLALYC_1","0","0","0","1","0","0","0","0","0","0"
"SOLICAN_1","0","0","0","0","0","0","0","0","0","+"
"SONCARV_1","0","0","0","0","0","0","1","0","0","0"
"SONCASP_1","0","0","0","0","0","0","0","0","0","2-3"
"SONCOLE_1","1","1","0","0","0","0","0","2","1-2","1"
"SPEGRUB_1","0","0","0","0","2","0","0","0","0","0"
"SPERARV_1","0","0","0","0","4","0","0","0","0","0"
"STELMED_1","0","0","0","0","0","3","3","0","0","0"
"TARASEO_1","0","2","0","1","0","1","0","0","1","0"
"THLSARV_1","0","0","0","2","0","4","2","0","0","0"
"TRIFDUB_1","0","1","0","0","0","0","0","3","3","0"
"TRIFHYB_1","8","0","0","0","0","0","0","0","1","0"
"TRIFPRA_1","0","2","0","1","0","0","0","2","2","0"
"TRIFREP_1","0","3","0","2","1","4","0","6","4-5","0"
"TRIPINO_1","7-8","8","9","10","7-8","7-8","9","8","7","8"
"TUSSFAR_1","0","0","0","0","0","0","0","1","6-7","6"
"URTIDIO_1","0","0","0","0","+","0","0","0","0","0"
"VEROCHA_1","0","0","0","0","0","0","1","0","0","0"
"VICIANG_1","0","3","2","0","2","0","3","2","0","0"
"VICIHIR_1","0","2","0","0","0","0","0","0","0","0"
