Table number,,1,2,3,4,5,6,7,8,9,10,
Releve number,,1,2,3,4,5,6,7,8,9,10,
Country code,,,,,,,,,,,,
Biblio reference,,,,,,,,,,,,
Nr. table in publ.,,,,,,,,,,,,
Nr. relevé in table,,,,,,,,,,,,
,,,,,,,,,,,,Species no.,Species name,
Atriplex patula,hl,2,6,2,2,2,,,,,,1144,
Capsella bursa-pastoris,hl,3,2,3,4,3,1,4,3,1,2,2101,
Chenopodium polyspermum,hl,1,,,,,,,3,,3,2717,
Conyza canadensis,hl,1,,,,,,,,,2,3074,
Echinochloa crus-galli,hl,1,,,4,,,,,,,3809,
Epilobium ciliatum,hl,1,,,,,,,,,,3956,
Juncus bufonius,hl,1,,,,,,,,,,5529,
Lolium multiflorum,hl,1,,3,,,,,,,,6368,
Matricaria chamomilla,hl,3,,,,,4,4,,,,6626,
Matricaria discoidea,hl,2,3,4,,,6,7,2,1,,6627,
Persicaria lapathifolia,hl,5,2,,2,2,,3,3,,,7718,
Persicaria maculosa,hl,2,2,,,,,,,,,7722,
Plantago major,hl,4,3,,5,,,,1,,,8151,
Poa annua,hl,3,2,,6,,,1,2,1,2,8203,
Polygonum aviculare,hl,3,9,1,,3,3,2,5,1,,8381,
Rumex species,jl,2,,,,,,,,,,9583,
Sonchus oleraceus,hl,1,1,,,,,,2,1,1,10327,
Trifolium hybridum,hl,8,,,,,,,,1,,11489,
Tripleurospermum inodorum,hl,7,8,9,10,7,7,9,8,7,8,11555,
Aethusa cynapium,hl,,1,,,,1,,,4,2,199,
Agrostis stolonifera,hl,,2,,,,,,,,,234,
Chenopodium album,hl,,3,1,2,4,4,2,5,,,2692,
Elymus repens,hl,,5,2,2,7,4,,,,,3872,
Epilobium roseum,hl,,1,,,,,,,,,3967,
Gnaphalium uliginosum,hl,,1,,,,,1,,,,4740,
Ligustrum vulgare,jl,,2,,,,,,,,,6279,
Lolium perenne,hl,,2,,,,2,,,6,,6369,
Myosotis arvensis,hl,,2,2,,,,4,,,,6980,
Poa palustris,hl,,2,,,,,,,,,8219,
Ranunculus repens,hl,,1,,,,,1,1,,,8963,
Rumex obtusifolius,hl,,1,,3,,,,,,,9559,
Sisymbrium officinale,hl,,1,,1,1,2,,1,,,10246,
Tanacetum vulgare,jl,,1,,,,,,,,,10711,
Taraxacum sect. Ruderalia,hl,,2,,1,,1,,,1,,10973,
Trifolium dubium,hl,,1,,,,,,3,3,,11486,
Trifolium pratense,hl,,2,,1,,,,2,2,,11508,
Trifolium repens,hl,,3,,2,1,4,,6,4,,11513,
Vicia angustifolia,hl,,3,2,,2,,3,2,,,12026,
Vicia hirsuta,hl,,2,,,,,,,,,12041,
Viola arvensis,hl,,1,,,1,,,,,,12081,
Apera spica-venti,hl,,,5,,,1,,,,,745,
Artemisia vulgaris,jl,,,1,3,,,1,1,,,875,
Erysimum cheiranthoides,hl,,,1,,,,,,,1,4082,
Fallopia convolvulus,hl,,,2,3,2,3,,,,,4227,
Galeopsis tetrahit,hl,,,2,,,,2,,,,4542,
Lapsana communis,hl,,,2,,,1,2,,,,5680,
Pisum sativum,hl,,,1,,,,,,,,8066,
Raphanus raphanistrum,hl,,,1,,4,,1,,,,9017,
Sinapis arvensis,hl,,,3,,,,,1,,,10240,
Erodium cicutarium,hl,,,,1,,,,,,,4056,
Galinsoga species,hl,,,,1,,,,,2,1,4547,
Holcus mollis,hl,,,,1,,,,,,,5224,
Myosoton aquaticum,hl,,,,2,,,,,,,7001,
Solanum lycopersicum,hl,,,,1,,,,,,,10269,
Thlaspi arvense,hl,,,,2,,4,2,,,,11231,
Urtica dioica,jl,,,,1,,,,,,,11644,
Artemisia vulgaris,hl,,,,,1,,,,,4,875,
Rumex obtusifolius,jl,,,,,3,,6,,,,9559,
Spergula arvensis,hl,,,,,4,,,,,,10380,
Spergularia rubra,hl,,,,,2,,,,,,10387,
Vicia tetrasperma,hl,,,,,1,,,3,1,,12061,
Anagallis arvensis,hl,,,,,,2,,,,,576,
Geranium pusillum,hl,,,,,,1,,,,,4674,
Phleum pratense,hl,,,,,,2,,,,,7918,
Plantago lanceolata,hl,,,,,,1,,1,,,8150,
Senecio vulgaris,hl,,,,,,1,,,1,1,10116,
Stellaria media,hl,,,,,,3,3,,,,10565,
Sonchus arvensis,hl,,,,,,,1,,,,10322,
Veronica chamaedrys,hl,,,,,,,1,,,,11822,
Arctium species,jl,,,,,,,,1,,,804,
Bromus sterilis,hl,,,,,,,,1,,,1531,
Medicago sativa,hl,,,,,,,,1,,,6648,
Papaver rhoeas,hl,,,,,,,,4,,,7531,
Tussilago farfara,hl,,,,,,,,1,6,6,11592,
Cerastium holosteoides,hl,,,,,,,,,1,,2530,
Equisetum arvense,hl,,,,,,,,,3,,3993,
Potentilla anserina,hl,,,,,,,,,2,,8518,
Lactuca serriola,hl,,,,,,,,,,3,5652,
Sonchus asper,hl,,,,,,,,,,2,10325,
