ShortName	FullName
ABIEALB	Abies alba
ABIECEP	Abies cephalonica
ABIECON	Abies concolor
ABIEGRA	Abies grandis
ABIEHOM	Abies homolepis
ABIENOR	Abies nordmanniana
ABIE-SP	Abies species
ABITABI	Abietinella abietina
ABITA;A	Abietinella abietina var. abietina
ABITA;H	Abietinella abietina var. hystricosa
ABIT-SP	Abietinella species
ABROBER	Abrothallus bertianus
ABROCAE	Abrothallus caerulescens
ABROCET	Abrothallus cetrariae
ABROMIC	Abrothallus microspermus
ABROPAR	Abrothallus parmelianus
ABROPEY	Abrothallus peyritschii
ABROPRO	Abrothallus prodiens
ABRO-SP	Abrothallus species
ABROUSN	Abrothallus usneae
ABSCANN	Absconditella annexa
ABSCDEL	Absconditella delutula
ABSCFOS	Absconditella fossarum
ABSCLIG	Absconditella lignicola
ABSC-SP	Absconditella species
ABSCSPH	Absconditella sphagnorum
ABSCTRI	Absconditella trivialis
ABUT-SP	Abutilon species
ABUTTHE	Abutilon theophrasti
ACANHUN	Acanthus hungaricus
ACAN-SP	Acanthus SPECIES
ACARADM	Acarospora admissa
ACARATR	Acarospora atrata
ACARAUS	Acarospora austriaca
ACARBAD	Acarospora badiofusca
ACARB-B	Acarospora badiofusca ssp. badiorubra
ACARBUL	Acarospora bullata
ACARCER	Acarospora cervina
ACARC;C	Acarospora cervina var. conspersa
ACARCOM	Acarospora complanata
ACARFRE	Acarospora freyi
ACARFUS	Acarospora fuscata
ACARGAL	Acarospora gallica
ACARGLA	Acarospora glaucocarpa
ACARHEP	Acarospora heppii
ACARHEU	Acarospora heufleriana
ACARHOS	Acarospora hospitans
ACARHOT	Acarospora hostilis
ACARHUN	Acarospora hungarica
ACARIMP	Acarospora impressula
ACARINS	Acarospora insolata
ACARINT	Acarospora intricata
ACARMAC	Acarospora macrospora
ACARMEL	Acarospora melaphaca
ACARMIS	Acarospora miskoliensis
ACARNIT	Acarospora nitrophila
ACARN;P	Acarospora nitrophila var. praeruptorum
ACARN;S	Acarospora nitrophila var. suzai
ACAROLI	Acarospora oligospora
ACARPEL	Acarospora peliscypha
ACARPYR	Acarospora pyrenopsoides
ACARRUG	Acarospora rugulosa
ACARSCA	Acarospora scabrida
ACARSIN	Acarospora sinopica
ACARSMA	Acarospora smaragdula
ACARS;L	Acarospora smaragdula var. lesdainii
ACARS;R	Acarospora smaragdula var. rufescens
ACARS;S	Acarospora smaragdula var. smaragdula
ACAR-SP	Acarospora species
ACARTEN	Acarospora tenuicorticata
ACARTON	Acarospora tongletii
ACARTRU	Acarospora truncata
ACARTYR	Acarospora tyroliensis
ACARUMB	Acarospora umbilicata
ACARVAR	Acarospora variegata
ACARVER	Acarospora veronensis
ACARVES	Acarospora versicolor
ACAUCAS	Acaulon casasianum
ACAUDER	Acaulon dertosense
ACAUFON	Acaulon fontiquerianum
ACAUMUT	Acaulon muticum
ACAUPIL	Acaulon piligerum
ACAU-SP	Acaulon species
ACAUTRI	Acaulon triquetrum
ACERCAM	Acer campestre
ACERGIN	Acer ginnala
ACERJAP	Acer japonicum
ACERMON	Acer monspessulanum
ACERNEG	Acer negundo
ACERPAL	Acer palmatum
ACERPLA	Acer platanoides
ACERPSE	Acer pseudoplatanus
ACERSAC	Acer saccharinum
ACER-SP	Acer species
ACERTAT	Acer tataricum
ACINARV	Acinos arvensis
ACINA-A	Acinos arvensis ssp. arvensis
ACINA-E	Acinos arvensis ssp. eglandulosus
ACIN-SP	Acinos species
ACONANT	Aconitum anthora
ACONF-M	Aconitum firmum ssp. moravicum
ACON*VA	Aconitum firmum ssp. moravicum x variegatum
ACONLYC	Aconitum lycoctonum
ACONL-L	Aconitum lycoctonum ssp. lycoctonum
ACON#NA	Aconitum napellus agg.
ACONPLI	Aconitum plicatum
ACON*VR	Aconitum plicatum x variegatum
ACON-SP	Aconitum species
ACONVAR	Aconitum variegatum
ACON*CA	Aconitum x cammarum
ACORCAL	Acorus calamus
ACOR-SP	Acorus species
ACRERHA	Acremonium rhabdosporum
ACRE-SP	Acremonium species
ACRO-SP	Acrobolbus species
ACROWIL	Acrobolbus wilsonii
ACRCCAV	Acrocordia cavata
ACRCCON	Acrocordia conoidea
ACRCC;S	Acrocordia conoidea var. suzai
ACRCGEM	Acrocordia gemmata
ACRC-SP	Acrocordia species
ACRP-SP	Acroptilon species
ACTAEUR	Actaea europaea
ACTA-SP	Actaea species
ACTASPI	Actaea spicata
ACTIDEL	Actinidia deliciosa
ACTI-SP	Actinidia SPECIES
ADELDEC	Adelanthus decipiens
ADELLIN	Adelanthus lindenbergianus
ADEL-SP	Adelanthus species
ADEOALP	Adelococcus alpestris
ADEOINT	Adelococcus interlatens
ADEO-SP	Adelococcus species
ADEEPIL	Adelolecia pilati
ADEE-SP	Adelolecia species
ADENLIL	Adenophora liliifolia
ADEN-SP	Adenophora species
ADESALL	Adenostyles alliariae
ADES-SP	Adenostyles species
ADONAES	Adonis aestivalis
ADONANN	Adonis annua
ADONFLA	Adonis flammea
ADON-SP	Adonis species
ADONVER	Adonis vernalis
ADOXMOS	Adoxa moschatellina
ADOX-SP	Adoxa species
