ShortName	FullName
XANTDOM	×Anthematricaria dominii
XANT-SP	×Anthematricaria SPECIES
XCONHUE	×Conyzigeron huelsenii
XCON-SP	×Conyzigeron SPECIES
XDACBOU	×Dactylocamptis boudieri
XDACLUC	×Dactylocamptis luciae
XDAC-SP	×Dactylocamptis SPECIES
XDATDRU	×Dactyloglossum drucei
XDATERD	×Dactyloglossum erdingeri
XDAT-SP	×Dactyloglossum SPECIES
XDAYCOM	×Dactylogymnadenia comigera
XDAYGRA	×Dactylogymnadenia gracilis
XDAY-SP	×Dactylogymnadenia SPECIES
XFESBRA	×Festulolium braunii
XFESHOL	×Festulolium holmbergii
XFESLOL	×Festulolium loliaceum
XFES-SP	×Festulolium SPECIES
XGYMANA	×Gymnanacamptis anacamptis
XGYM-SP	×Gymnanacamptis SPECIES
XPSESCH	×Pseudadenia schweinfurthii
XPSE-SP	×Pseudadenia SPECIES
XPSUROH	×Pseudomatricaria rohlenae
XPSU-SP	×Pseudomatricaria SPECIES
XPSDNIE	×Pseudorhiza nieschalkii
XPSD-SP	×Pseudorhiza SPECIES
XSORFAL	×Sorbaronia fallax
XSOR-SP	×Sorbaronia SPECIES
XTRIRIM	×Triticosecale rimpaui
XTRI-SP	×Triticosecale SPECIES
ABIEALB	Abies alba
ABIECON	Abies concolor
ABIEGRA	Abies grandis
ABIEHOM	Abies homolepis
ABIENOR	Abies nordmanniana
ABIE-SP	Abies SPECIES
ABUT-SP	Abutilon SPECIES
ABUTTHE	Abutilon theophrasti
ACANHUN	Acanthus hungaricus
ACAN-SP	Acanthus SPECIES
ACERCAM	Acer campestre
ACERGIN	Acer ginnala
ACERJAP	Acer japonicum
ACERMON	Acer monspessulanum
ACERNEG	Acer negundo
ACERPAL	Acer palmatum
ACERPLA	Acer platanoides
ACERPSE	Acer pseudoplatanus
ACERSAC	Acer saccharinum
ACER-SP	Acer SPECIES
ACERTAT	Acer tataricum
ACINARV	Acinos arvensis
ACINA-A	Acinos arvensis subsp. arvensis
ACINA-E	Acinos arvensis subsp. eglandulosus
ACIN-SP	Acinos SPECIES
ACON*BE	Aconitum ×berdaui nothosubsp. walasii
ACON*CA	Aconitum ×cammarum
ACON*EX	Aconitum ×exaltatum
ACONANT	Aconitum anthora
ACONFIR	Aconitum firmum
ACONF-M	Aconitum firmum subsp. moravicum
ACONLYC	Aconitum lycoctonum
ACONL-L	Aconitum lycoctonum subsp. lycoctonum
ACONL-V	Aconitum lycoctonum subsp. vulparia
ACON#NA	Aconitum napellus agg.
ACONPLI	Aconitum plicatum
ACONP-P	Aconitum plicatum subsp. plicatum
ACONP-S	Aconitum plicatum subsp. sudeticum
ACON-SP	Aconitum SPECIES
ACONVAR	Aconitum variegatum
ACONV-V	Aconitum variegatum subsp. variegatum
ACORCAL	Acorus calamus
ACOR-SP	Acorus SPECIES
ACTAEUR	Actaea europaea
ACTA-SP	Actaea SPECIES
ACTASPI	Actaea spicata
ACTIDEL	Actinidia deliciosa
ACTI-SP	Actinidia SPECIES
ADENLIL	Adenophora liliifolia
ADEN-SP	Adenophora SPECIES
ADEOALL	Adenostyles alliariae
ADEO-SP	Adenostyles SPECIES
ADONAES	Adonis aestivalis
ADONA-A	Adonis aestivalis subsp. aestivalis
ADONANN	Adonis annua
ADONA-N	Adonis annua subsp. annua
ADONFLA	Adonis flammea
ADON-SP	Adonis SPECIES
ADONVER	Adonis vernalis
ADOXMOS	Adoxa moschatellina
ADOX-SP	Adoxa SPECIES
AEGICYL	Aegilops cylindrica
AEGIGEN	Aegilops geniculata
AEGI-SP	Aegilops SPECIES
AEGOPOD	Aegopodium podagraria
AEGO-SP	Aegopodium SPECIES
AESC*CA	Aesculus ×carnea
AESCFLA	Aesculus flava
AESCHIP	Aesculus hippocastanum
AESCPAV	Aesculus pavia
AESC-SP	Aesculus SPECIES
AETHCYN	Aethusa cynapioides
AETHCYA	Aethusa cynapium
AETH#CY	Aethusa cynapium agg.
AETH-SP	Aethusa SPECIES
AGERALT	Ageratina altissima
AGER-SP	Ageratina SPECIES
AGEAHOU	Ageratum houstonianum
AGEA-SP	Ageratum SPECIES
AGRIEUP	Agrimonia eupatoria
AGRIPRO	Agrimonia procera
AGRI-SP	Agrimonia SPECIES
AGROPEC	Agropyron pectinatum
AGRO-SP	Agropyron SPECIES
AGRSGIT	Agrostemma githago
AGRS-SP	Agrostemma SPECIES
