ShortName	FullName
ABIEALB	Abies alba
ABIENOR	Abies nordmanniana
ABIEN-N	Abies nordmanniana subsp. nordmanniana
ABIEPIN	Abies pinsapo
ABIE-SP	Abies SPECIES
ABUTGRA	Abutilon grandifolium
ABUT-SP	Abutilon SPECIES
ABUTTHE	Abutilon theophrasti
ACACCYC	Acacia cyclops
ACACDEA	Acacia dealbata
ACACD-D	Acacia dealbata subsp. dealbata
ACACLON	Acacia longifolia
ACACMEA	Acacia mearnsii
ACACMEL	Acacia melanoxylon
ACACPYC	Acacia pycnantha
ACACRET	Acacia retinodes
ACACSAL	Acacia saligna
ACAC-SP	Acacia SPECIES
ACANMOL	Acanthus mollis
ACANM-M	Acanthus mollis subsp. mollis
ACAN-SP	Acanthus SPECIES
ACERCAM	Acer campestre
ACERC-C	Acer campestre subsp. campestre
ACERMON	Acer monspessulanum
ACERM-M	Acer monspessulanum subsp. monspessulanum
ACERPSE	Acer pseudoplatanus
ACER-SP	Acer SPECIES
ACISAUT	Acis autumnalis
ACIS-SP	Acis SPECIES
ACISTRI	Acis trichophylla
ACONNAP	Aconitum napellus
ACONN-L	Aconitum napellus subsp. lusitanicum
ACON-SP	Aconitum SPECIES
ADENARG	Adenocarpus argyrophyllus
ADENCOM	Adenocarpus complicatus
ADENC-A	Adenocarpus complicatus subsp. aureus
ADENC-C	Adenocarpus complicatus subsp. complicatus
ADEN-SP	Adenocarpus SPECIES
ADENTEL	Adenocarpus telonensis
ADIACAP	Adiantum capillus-veneris
ADIARAD	Adiantum raddianum
ADIA-SP	Adiantum SPECIES
ADONANN	Adonis annua
ADONA-A	Adonis annua subsp. annua
ADONMIC	Adonis microcarpa
ADONM-M	Adonis microcarpa subsp. microcarpa
ADON-SP	Adonis SPECIES
AEGIGEN	Aegilops geniculata
AEGINEG	Aegilops neglecta
AEGI-SP	Aegilops SPECIES
AEGITRI	Aegilops triuncialis
AEONARB	Aeonium arboreum
AEONA-A	Aeonium arboreum subsp. arboreum
AEONA-H	Aeonium arboreum subsp. holochrysum
AEONHAW	Aeonium haworthii
AEONH-H	Aeonium haworthii subsp. haworthii
AEON-SP	Aeonium SPECIES
AGAPPRA	Agapanthus praecox
AGAP-SP	Agapanthus SPECIES
AGAVAME	Agave americana
AGAVA-A	Agave americana subsp. americana
AGAVSAL	Agave salmiana
AGAVS-S	Agave salmiana subsp. salmiana
AGAV-SP	Agave SPECIES
AGERADE	Ageratina adenophora
AGER-SP	Ageratina SPECIES
AGEAHOU	Ageratum houstonianum
AGEA-SP	Ageratum SPECIES
AGRIEUP	Agrimonia eupatoria
AGRIE-E	Agrimonia eupatoria subsp. eupatoria
AGRIE-G	Agrimonia eupatoria subsp. grandis
AGRIPRO	Agrimonia procera
AGRI-SP	Agrimonia SPECIES
AGROGIT	Agrostemma githago
AGRO-SP	Agrostemma SPECIES
AGRSCAN	Agrostis canina
AGRSCAP	Agrostis capillaris
AGRSCAS	Agrostis castellana
AGRSHES	Agrostis hesperica
AGRSJUR	Agrostis juressi
AGRSNEB	Agrostis nebulosa
AGRSPOU	Agrostis pourretii
AGRSREU	Agrostis reuteri
AGRSR-R	Agrostis reuteri subsp. reuteri
AGRS-SP	Agrostis SPECIES
AGRSSTO	Agrostis stolonifera
AGRSSUB	Agrostis subspicata
AGRSTEN	Agrostis tenerrima
AGRT-SP	Agrostula SPECIES
AGRTTRU	Agrostula truncatula
AGRTT-D	Agrostula truncatula subsp. durieui
AGRTT-T	Agrostula truncatula subsp. truncatula
ACHIAGE	Achillea ageratum
ACHIDIS	Achillea distans
ACHID-S	Achillea distans subsp. stricta
ACHIMAR	Achillea maritima
ACHIM-M	Achillea maritima subsp. maritima
ACHIMIL	Achillea millefolium
ACHIM-I	Achillea millefolium subsp. millefolium
ACHI-SP	Achillea SPECIES
ACHNBRO	Achnatherum bromoides
ACHNPAR	Achnatherum paradoxum
ACHN-SP	Achnatherum SPECIES
AICHLAX	Aichryson laxum
AICHL-L	Aichryson laxum subsp. laxum
AICH-SP	Aichryson SPECIES
AILAALT	Ailanthus altissima
AILAA;A	Ailanthus altissima var. altissima
AILA-SP	Ailanthus SPECIES
AIRACAR	Aira caryophyllea
AIRACUP	Aira cupaniana
AIRAHER	Aira hercynica
AIRAPRA	Aira praecox
AIRA-SP	Aira SPECIES
AIRAUNI	Aira uniaristata
AIRO-SP	Airopsis SPECIES
AIROTEN	Airopsis tenella
AJUGCHA	Ajuga chamaepitys
AJUGC-C	Ajuga chamaepitys subsp. chamaepitys
AJUGIVA	Ajuga iva
AJUGPYR	Ajuga pyramidalis
AJUGP-M	Ajuga pyramidalis subsp. meonantha
AJUGP-P	Ajuga pyramidalis subsp. pyramidalis
AJUGREP	Ajuga reptans
AJUG-SP	Ajuga SPECIES
ALCEROS	Alcea rosea
ALCE-SP	Alcea SPECIES
ALCHARV	Alchemilla arvensis
ALCHAUS	Alchemilla australis
ALCHCOR	Alchemilla coriacea
ALCHCON	Alchemilla cornucopioides
ALCHLUS	Alchemilla lusitanica
ALCHMIC	Alchemilla microcarpa
ALCH-SP	Alchemilla SPECIES
ALCHTRA	Alchemilla transiens
ALISGRA	Alisma gramineum
ALISLAN	Alisma lanceolatum
ALISPLA	Alisma plantago-aquatica
ALISP-P	Alisma plantago-aquatica subsp. plantago-aquatica
ALIS-SP	Alisma SPECIES
ALKALUT	Alkanna lutea
ALKA-SP	Alkanna SPECIES
ALKATIN	Alkanna tinctoria
ALKAT-T	Alkanna tinctoria subsp. tinctoria
ALLIPET	Alliaria petiolata
ALLI-SP	Alliaria SPECIES
ALLUAMP	Allium ampeloprasum
ALLUBAE	Allium baeticum
ALLUERI	Allium ericetorum
ALLULON	Allium longispathum
ALLULUS	Allium lusitanicum
ALLUMAS	Allium massaessylum
ALLUNAR	Allium narcissiflorum
ALLUNEA	Allium neapolitanum
ALLUNIG	Allium nigrum
ALLUOLE	Allium oleraceum
ALLUPAL	Allium pallens
ALLUPRU	Allium pruinatum
ALLUROS	Allium roseum
ALLUR-R	Allium roseum subsp. roseum
ALLUSAR	Allium sardoum
ALLUSCO	Allium scorzonerifolium
ALLUSCH	Allium schmitzii
ALLUSCE	Allium schoenoprasum
ALLU-SP	Allium SPECIES
ALLUSPH	Allium sphaerocephalon
ALLUS-S	Allium sphaerocephalon subsp. sphaerocephalon
ALLUSUB	Allium subvillosum
ALLUTRI	Allium triquetrum
ALLUURS	Allium ursinum
ALLUVIC	Allium victorialis
ALLUVIN	Allium vineale
ALNULUS	Alnus lusitanica
ALNU-SP	Alnus SPECIES
ALOCMAC	Alocasia macrorrhizos
ALOC-SP	Alocasia SPECIES
ALOEARB	Aloe arborescens
ALOEA-A	Aloe arborescens subsp. arborescens
ALOEMAC	Aloe maculata
ALOEM-M	Aloe maculata subsp. maculata
ALOE-SP	Aloe SPECIES
ALOEVER	Aloe vera
ALOICIL	Aloiampelos ciliaris
ALOIC;C	Aloiampelos ciliaris var. ciliaris
ALOI-SP	Aloiampelos SPECIES
ALOPAEQ	Alopecurus aequalis
ALOPARU	Alopecurus arundinaceus
ALOPGEN	Alopecurus geniculatus
ALOPMYO	Alopecurus myosuroides
ALOP-SP	Alopecurus SPECIES
ALPASET	Alpagrostis setacea
ALPAS;S	Alpagrostis setacea var. setacea
ALPA-SP	Alpagrostis SPECIES
ALTHCAN	Althaea cannabina
ALTHOFF	Althaea officinalis
ALTH-SP	Althaea SPECIES
ALTEORI	Althenia orientalis
ALTEO-O	Althenia orientalis subsp. orientalis
ALTE-SP	Althenia SPECIES
ALYSALY	Alyssum alyssoides
ALYSCOL	Alyssum collinum
ALYSGRA	Alyssum granatense
ALYSMIN	Alyssum minutum
ALYSSIM	Alyssum simplex
ALYS-SP	Alyssum SPECIES
AMARALB	Amaranthus albus
AMARBLI	Amaranthus blitoides
AMARBLT	Amaranthus blitum
AMARB-O	Amaranthus blitum subsp. oleraceus
AMARCRU	Amaranthus cruentus
AMARDEF	Amaranthus deflexus
AMARGRA	Amaranthus graecizans
AMARG-G	Amaranthus graecizans subsp. graecizans
AMARHYB	Amaranthus hybridus
AMARH-H	Amaranthus hybridus subsp. hybridus
AMARMUR	Amaranthus muricatus
AMARRET	Amaranthus retroflexus
AMAR-SP	Amaranthus SPECIES
AMAYBEL	Amaryllis belladonna
AMAY-SP	Amaryllis SPECIES
AMBRART	Ambrosia artemisiifolia
AMBR-SP	Ambrosia SPECIES
AMELOVA	Amelanchier ovalis
AMELO-O	Amelanchier ovalis subsp. ovalis
AMEL-SP	Amelanchier SPECIES
AMMACOC	Ammannia coccinea
AMMAC-C	Ammannia coccinea subsp. coccinea
AMMA-SP	Ammannia SPECIES
AMMIMAJ	Ammi majus
AMMIM-M	Ammi majus subsp. majus
AMMI-SP	Ammi SPECIES
AMMOPUS	Ammoides pusilla
AMMO-SP	Ammoides SPECIES
AMPEMAU	Ampelodesmos mauritanicus
AMPE-SP	Ampelodesmos SPECIES
ANACCOL	Anacamptis collina
ANACCOR	Anacamptis coriophora
ANACC-C	Anacamptis coriophora subsp. carpetana
ANACC-O	Anacamptis coriophora subsp. coriophora
ANACLAX	Anacamptis laxiflora
ANACL-L	Anacamptis laxiflora subsp. laxiflora
ANACMOR	Anacamptis morio
ANACM-C	Anacamptis morio subsp. champagneuxii
ANACM-M	Anacamptis morio subsp. morio
ANACM-P	Anacamptis morio subsp. picta
ANACPAP	Anacamptis papilionacea
ANACP-E	Anacamptis papilionacea subsp. expansa
ANACPYR	Anacamptis pyramidalis
ANACP;P	Anacamptis pyramidalis var. pyramidalis
ANAC-SP	Anacamptis SPECIES
ANAYCLA	Anacyclus clavatus
ANAYRAD	Anacyclus radiatus
ANAYR-R	Anacyclus radiatus subsp. radiatus
ANAY-SP	Anacyclus SPECIES
ANAGFOE	Anagyris foetida
ANAG-SP	Anagyris SPECIES
ANARBEL	Anarrhinum bellidifolium
ANARDUR	Anarrhinum duriminium
ANARLON	Anarrhinum longipedicellatum
ANAR-SP	Anarrhinum SPECIES
ANDRARE	Andryala arenaria
ANDRA-A	Andryala arenaria subsp. arenaria
ANDRA-P	Andryala arenaria subsp. parvipila
ANDRA;F	Andryala arenaria var. ficalhoana
ANDRINT	Andryala integrifolia
ANDRRAG	Andryala ragusina
ANDRROT	Andryala rothia
ANDR-SP	Andryala SPECIES
ANEMCOR	Anemone coronaria
ANEMPAL	Anemone palmata
ANEM-SP	Anemone SPECIES
ANEMTRI	Anemone trifolia
ANEMT-A	Anemone trifolia subsp. albida
ANETGRA	Anethum graveolens
ANET-SP	Anethum SPECIES
ANGELAN	Angelica lancifolia
