ShortName	FullName
ABIEBAL	Abies balsamea
ABIEB;B	Abies balsamea var. balsamea
ABIE-SP	Abies SPECIES
ACALRHO	Acalypha rhomboidea
ACAL-SP	Acalypha SPECIES
ACERNEG	Acer negundo
ACERN-N	Acer negundo subsp. negundo
ACERN;T	Acer negundo var. texanum
ACERNIG	Acer nigrum
ACERPEN	Acer pensylvanicum
ACERPLA	Acer platanoides
ACERP-P	Acer platanoides subsp. platanoides
ACERRUB	Acer rubrum
ACERR;R	Acer rubrum var. rubrum
ACERSAC	Acer saccharinum
ACERSAH	Acer saccharum
ACERS;S	Acer saccharum var. saccharum
ACER-SP	Acer SPECIES
ACERSPI	Acer spicatum
ACERTAT	Acer tataricum
ACERT-G	Acer tataricum subsp. ginnala
ACORAME	Acorus americanus
ACORA-A	Acorus americanus subsp. americanus
ACORCAL	Acorus calamus
ACOR-SP	Acorus SPECIES
ACTAPAC	Actaea pachypoda
ACTAP;P	Actaea pachypoda f. pachypoda
ACTAP;R	Actaea pachypoda f. rubrocarpa
ACTARUB	Actaea rubra
ACTA-SP	Actaea SPECIES
ADIAALE	Adiantum aleuticum
ADIAPED	Adiantum pedatum
ADIA-SP	Adiantum SPECIES
ADLUFUN	Adlumia fungosa
ADLU-SP	Adlumia SPECIES
AEGOPOD	Aegopodium podagraria
AEGO-SP	Aegopodium SPECIES
AESCHIP	Aesculus hippocastanum
AESC-SP	Aesculus SPECIES
AETHCYN	Aethusa cynapium
AETHC-C	Aethusa cynapium subsp. cynapium
AETH-SP	Aethusa SPECIES
AGALPUR	Agalinis purpurea
AGALP;P	Agalinis purpurea var. parviflora
AGAL-SP	Agalinis SPECIES
AGALTEN	Agalinis tenuifolia
AGASFOE	Agastache foeniculum
AGASNEP	Agastache nepetoides
AGAS-SP	Agastache SPECIES
AGERALT	Ageratina altissima
AGERA;A	Ageratina altissima var. altissima
AGER-SP	Ageratina SPECIES
AGOSAUR	Agoseris aurantiaca
AGOSA;A	Agoseris aurantiaca var. aurantiaca
AGOS-SP	Agoseris SPECIES
AGRIGRY	Agrimonia gryposepala
AGRIPUB	Agrimonia pubescens
AGRI-SP	Agrimonia SPECIES
AGRISTR	Agrimonia striata
AGROCRI	Agropyron cristatum
AGRO-SP	Agropyron SPECIES
AGRSGIT	Agrostemma githago
AGRS-SP	Agrostemma SPECIES
AGRTCAN	Agrostis canina
AGRTCAP	Agrostis capillaris
AGRTGIG	Agrostis gigantea
AGRTG-G	Agrostis gigantea subsp. gigantea
AGRTMER	Agrostis mertensii
AGRTPER	Agrostis perennans
AGRTSCA	Agrostis scabra
AGRT-SP	Agrostis SPECIES
AGRTSTO	Agrostis stolonifera
ACHIALP	Achillea alpina
ACHIA-M	Achillea alpina subsp. multiflora
ACHIDIS	Achillea distans
ACHID-D	Achillea distans subsp. distans
ACHIGRA	Achillea gracilis
ACHIPAN	Achillea pannonica
ACHIPTA	Achillea ptarmica
ACHIP-P	Achillea ptarmica subsp. ptarmica
ACHI-SP	Achillea SPECIES
AILAALT	Ailanthus altissima
AILAA;A	Ailanthus altissima var. altissima
AILA-SP	Ailanthus SPECIES
AJUGGEN	Ajuga genevensis
AJUGREP	Ajuga reptans
AJUG-SP	Ajuga SPECIES
ALCEROS	Alcea rosea
ALCE-SP	Alcea SPECIES
ALCHFIL	Alchemilla filicaulis
ALCHGLA	Alchemilla glabra
ALCHGLU	Alchemilla glaucescens
ALCHGLO	Alchemilla glomerulans
ALCHMIC	Alchemilla micans
ALCHMON	Alchemilla monticola
ALCH-SP	Alchemilla SPECIES
ALCHSUB	Alchemilla subcrenata
ALCHXAN	Alchemilla xanthochlora
ALISGRA	Alisma gramineum
ALIS-SP	Alisma SPECIES
ALISSUB	Alisma subcordatum
ALISTRI	Alisma triviale
ALKEO;O	Alkekengi officinarum var. officinarum
