"ShortName"	"FullName"
"ABIEALB"	"Abies alba"
"ABIE-SP"	"Abies species"
"ABITABI"	"Abietinella abietina"
"ABITA;A"	"Abietinella abietina var. abietina"
"ABITA;H"	"Abietinella abietina var. hystricosa"
"ABIT-SP"	"Abietinella species"
"ABROBER"	"Abrothallus bertianus"
"ABROCAE"	"Abrothallus caerulescens"
"ABROCET"	"Abrothallus cetrariae"
"ABROMIC"	"Abrothallus microspermus"
"ABROPAR"	"Abrothallus parmelianus"
"ABROPEY"	"Abrothallus peyritschii"
"ABROPRO"	"Abrothallus prodiens"
"ABROUSN"	"Abrothallus usneae"
"ABRO-SP"	"Abrothallus species"
"ABSCANN"	"Absconditella annexa"
"ABSCDEL"	"Absconditella delutula"
"ABSCFOS"	"Absconditella fossarum"
"ABSCLIG"	"Absconditella lignicola"
"ABSCSPH"	"Absconditella sphagnorum"
"ABSCTRI"	"Absconditella trivialis"
"ABSC-SP"	"Absconditella species"
"ABUTTHE"	"Abutilon theophrasti"
"ABUT-SP"	"Abutilon species"
"ACALVIR"	"Acalypha virginica"
"ACAL-SP"	"Acalypha species"
"ACARADM"	"Acarospora admissa"
"ACARATR"	"Acarospora atrata"
"ACARAUS"	"Acarospora austriaca"
"ACARBAD"	"Acarospora badiofusca"
"ACARB-B"	"Acarospora badiofusca ssp. badiorubra"
"ACARBUL"	"Acarospora bullata"
"ACARCER"	"Acarospora cervina"
"ACARC;C"	"Acarospora cervina var. conspersa"
"ACARCOM"	"Acarospora complanata"
"ACARFRE"	"Acarospora freyi"
"ACARFUS"	"Acarospora fuscata"
"ACARGAL"	"Acarospora gallica"
"ACARGLA"	"Acarospora glaucocarpa"
"ACARHEP"	"Acarospora heppii"
"ACARHEU"	"Acarospora heufleriana"
"ACARHOS"	"Acarospora hospitans"
"ACARHOT"	"Acarospora hostilis"
"ACARHUN"	"Acarospora hungarica"
"ACARIMP"	"Acarospora impressula"
"ACARINS"	"Acarospora insolata"
"ACARINT"	"Acarospora intricata"
"ACARMAC"	"Acarospora macrospora"
"ACARMEL"	"Acarospora melaphaca"
"ACARMIS"	"Acarospora miskoliensis"
"ACARNIT"	"Acarospora nitrophila"
"ACARN;P"	"Acarospora nitrophila var. praeruptorum"
"ACARN;S"	"Acarospora nitrophila var. suzai"
"ACAROLI"	"Acarospora oligospora"
"ACARPEL"	"Acarospora peliscypha"
"ACARPYR"	"Acarospora pyrenopsoides"
"ACARRUG"	"Acarospora rugulosa"
"ACARSCA"	"Acarospora scabrida"
"ACARSIN"	"Acarospora sinopica"
"ACARSMA"	"Acarospora smaragdula"
"ACARS;L"	"Acarospora smaragdula var. lesdainii"
"ACARS;R"	"Acarospora smaragdula var. rufescens"
"ACARS;S"	"Acarospora smaragdula var. smaragdula"
"ACARTEN"	"Acarospora tenuicorticata"
"ACARTON"	"Acarospora tongletii"
"ACARTRU"	"Acarospora truncata"
"ACARTYR"	"Acarospora tyroliensis"
"ACARUMB"	"Acarospora umbilicata"
"ACARVAR"	"Acarospora variegata"
"ACARVER"	"Acarospora veronensis"
"ACARVES"	"Acarospora versicolor"
"ACAR-SP"	"Acarospora species"
"ACAUCAS"	"Acaulon casasianum"
"ACAUDER"	"Acaulon dertosense"
"ACAUFON"	"Acaulon fontiquerianum"
"ACAUMUT"	"Acaulon muticum"
"ACAUPIL"	"Acaulon piligerum"
"ACAUTRI"	"Acaulon triquetrum"
"ACAU-SP"	"Acaulon species"
"ACERCAM"	"Acer campestre"
"ACERMON"	"Acer monspessulanum"
"ACERNEG"	"Acer negundo"
"ACERPLA"	"Acer platanoides"
"ACERPSE"	"Acer pseudoplatanus"
"ACERPSU"	"Acer pseudoplatanus mod. ""prostrata"""
"ACERSAC"	"Acer saccharinum"
"ACERSAH"	"Acer saccharum"
"ACERTAT"	"Acer tataricum"
"ACER-SP"	"Acer species"
"ACEAANT"	"Aceras anthropophorum"
"ACEA-SP"	"Aceras species"
"ACHIAGE"	"Achillea ageratum"
"ACHIASP"	"Achillea aspleniifolia"
"ACHI#AT"	"Achillea atrata agg."
"ACHIATR"	"Achillea atrata"
"ACHICLA"	"Achillea clavennae"
"ACHICLU"	"Achillea clusiana"
"ACHICOL"	"Achillea collina"
"ACHICRI"	"Achillea crithmifolia"
"ACHIDIS"	"Achillea distans"
"ACHID-D"	"Achillea distans ssp. distans"
"ACHID-S"	"Achillea distans ssp. styriaca"
"ACHIFIL"	"Achillea filipendulina"
"ACHIGRA"	"Achillea grandifolia"
"ACHIMAC"	"Achillea macrophylla"
"ACHI#MI"	"Achillea millefolium agg."
"ACHIMIL"	"Achillea millefolium"
"ACHIM-M"	"Achillea millefolium ssp. millefolium"
"ACHIM-S"	"Achillea millefolium ssp. sudetica"
"ACHIMOS"	"Achillea moschata"
"ACHINOB"	"Achillea nobilis"
"ACHIN-N"	"Achillea nobilis ssp. neilreichii"
"ACHIOCH"	"Achillea ochroleuca"
"ACHIOXY"	"Achillea oxyloba"
"ACHIPAN"	"Achillea pannonica"
"ACHIPRA"	"Achillea pratensis"
"ACHIPTA"	"Achillea ptarmica"
"ACHIROS"	"Achillea roseoalba"
"ACHISET"	"Achillea setacea"
"ACHISTR"	"Achillea stricta"
"ACHITOM"	"Achillea tomentosa"
"ACHI-SP"	"Achillea species"
"ACHNCAL"	"Achnatherum calamagrostis"
"ACHN-SP"	"Achnatherum species"
"ACINALP"	"Acinos alpinus"
"ACINARV"	"Acinos arvensis"
"ACINA-A"	"Acinos arvensis ssp. arvensis"
"ACINA-V"	"Acinos arvensis ssp. villosus"
"ACIN-SP"	"Acinos species"
"ACONANT"	"Aconitum anthora"
"ACONDEG"	"Aconitum degenii"
"ACOND-P"	"Aconitum degenii ssp. paniculatum"
"ACONLYC"	"Aconitum lycoctonum"
"ACONL-M"	"Aconitum lycoctonum ssp. moldavicum"
"ACONL-R"	"Aconitum lycoctonum ssp. ranunculifolium"
"ACONL-V"	"Aconitum lycoctonum ssp. vulparia"
"ACON#NA"	"Aconitum napellus agg."
"ACONNAP"	"Aconitum napellus"
"ACONN-F"	"Aconitum napellus ssp. formosum"
"ACONN-N"	"Aconitum napellus ssp. neomontanum"
"ACONN-V"	"Aconitum napellus ssp. vulgare"
"ACONPIL"	"Aconitum pilipes"
"ACONTAU"	"Aconitum tauricum"
"ACON#VA"	"Aconitum variegatum agg."
"ACONVAR"	"Aconitum variegatum"
"ACONV-N"	"Aconitum variegatum ssp. nasutum"
"ACONV-V"	"Aconitum variegatum ssp. variegatum"
"ACONLAS"	"Aconitum lasiocarpum"
"ACONN-I"	"Aconitum napellus ssp. firmum ""firmum"""
"ACONN-R"	"Aconitum napellus ssp. firmum ""moravicum"""
"ACONN-M"	"Aconitum napellus ssp. firmum s.lat."
"ACONN-H"	"Aconitu napellu ssp. hians sensu orig."
"ACON-SP"	"Aconitum species"
"ACORCAL"	"Acorus calamus"
"ACOR-SP"	"Acorus species"
"ACRERHA"	"Acremonium rhabdosporum"
"ACRE-SP"	"Acremonium species"
"ACROWIL"	"Acrobolbus wilsonii"
"ACRO-SP"	"Acrobolbus species"
"ACRCCAV"	"Acrocordia cavata"
"ACRCCON"	"Acrocordia conoidea"
"ACRCC;S"	"Acrocordia conoidea var. suzai"
"ACRCGEM"	"Acrocordia gemmata"
"ACRC-SP"	"Acrocordia species"
"ACRPREP"	"Acroptilon repens"
"ACRP-SP"	"Acroptilon species"
"ACTASPI"	"Actaea spicata"
"ACTA-SP"	"Actaea species"
"ADELDEC"	"Adelanthus decipiens"
"ADELLIN"	"Adelanthus lindenbergianus"
"ADEL-SP"	"Adelanthus species"
"ADEOALP"	"Adelococcus alpestris"
"ADEOINT"	"Adelococcus interlatens"
"ADEO-SP"	"Adelococcus species"
"ADEEPIL"	"Adelolecia pilati"
"ADEE-SP"	"Adelolecia species"
"ADENLIL"	"Adenophora liliifolia"
"ADEN-SP"	"Adenophora species"
"ADESALL"	"Adenostyles alliariae"
"ADESGLA"	"Adenostyles glabra"
"ADESLEU"	"Adenostyles leucophylla"
"ADES-SP"	"Adenostyles species"
"ADONAES"	"Adonis aestivalis"
"ADONANN"	"Adonis annua"
"ADONFLA"	"Adonis flammea"
"ADONVER"	"Adonis vernalis"
"ADON-SP"	"Adonis species"
"ADOXMOS"	"Adoxa moschatellina"
"ADOX-SP"	"Adoxa species"
"AEGICYL"	"Aegilops cylindrica"
"AEGIGEN"	"Aegilops geniculata"
"AEGI-SP"	"Aegilops species"
"AEGOPOD"	"Aegopodium podagraria"
"AEGO-SP"	"Aegopodium species"
"AESCHIP"	"Aesculus hippocastanum"
"AESC-SP"	"Aesculus species"
"AETHSAX"	"Aethionema saxatile"
"AETH-SP"	"Aethionema species"
"AETUCYN"	"Aethusa cynapium"
"AETUC-A"	"Aethusa cynapium ssp. agrestis"
"AETUC-C"	"Aethusa cynapium ssp. cynapioides"
"AETUC-Y"	"Aethusa cynapium ssp. cynapium"
"AETU-SP"	"Aethusa species"
"AGERALT"	"Ageratina altissima"
"AGER-SP"	"Ageratina species"
"AGEAHOU"	"Ageratum houstonianum"
"AGEA-SP"	"Ageratum species"
"AGONTRI"	"Agonimia tristicula"
"AGON-SP"	"Agonimia species"
"AGRIEUP"	"Agrimonia eupatoria"
"AGRIE-E"	"Agrimonia eupatoria ssp. eupatoria"
"AGRIE-G"	"Agrimonia eupatoria ssp. grandis"
"AGRIPRO"	"Agrimonia procera"
"AGRIPIL"	"Agrimonia pilosa"
"AGRI-SP"	"Agrimonia species"
"AGRODES"	"Agropyron desertorum"
"AGROPEC"	"Agropyron pectiniforme"
"AGRO-SP"	"Agropyron species"
"AGRSGIT"	"Agrostemma githago"
"AGRSG;L"	"Agrostemma githago var. linicola"
"AGRS-SP"	"Agrostemma species"
"AGRTAGR"	"Agrostis agrostiflora"
"AGRT#AL"	"Agrostis alpina agg."
"AGRTALP"	"Agrostis alpina"
"AGRT#CA"	"Agrostis canina agg."
"AGRTCAN"	"Agrostis canina"
"AGRTCAP"	"Agrostis capillaris"
"AGRTCAS"	"Agrostis castellana"
