# project_name: 
# project_description: 
# n_releves: 3
# checklist: cz_dh2012
# rveg_version: 0.1.7
# extra_spec: 
# created: 2026-02-23 12:18:38
# last_change: 2026-02-23 12:23:11
# db_id: 9c69-f518-7d11
"ShortName","X1","X2","X3"
"ID","1","2","3"
"DATE","23/02/2026","23/02/2026","23/02/2026"
"SpringDATE","","",""
"LOCALITY","Bratislava","Bratislava","Bratislava"
"FieldCODE","1","2","3"
"Authors","PK","PK","PK"
"PlotSize","400","400","400"
"Latitude","","",""
"Longitude","","",""
"Accuracy","","",""
"CRS","","",""
"Slope","","",""
"Exposure","","",""
"E3","70","80","50"
"E2","5","0","20"
"E1","50","45","50"
"Ejuv","1","0","0"
"E0","5","2","0"
"Note","","",""
