# project_name: 
# project_description: 
# n_releves: 3
# checklist: cz_dh2012
# rveg_version: 0.1.7
# extra_spec: 
# created: 2026-02-23 12:18:38
# last_change: 2026-02-23 12:24:14
# db_id: 9c69-f518-7d11
"ShortName","1","2","3"
"BIDEFRO_1","1","5","0"
"BIDETRI_1","0","1","0"
"CAREELO_1","0","0","3"
"DESCCES_1","0","0","3"
"GALUAPA_1","1","0","0"
"IRISPSE_1","1","0","0"
"LYSIVUL_1","3","0","0"
"LYTHSAL_1","1","0","0"
"PHRAAUS_1","20","15","20"
"POA TRI_1","1","0","1"
"URTIKIO_1","30","20","0"
"FRANALN_2","0","0","20"
"ALNUGLU_3","70","80","50"
"PICEABI_3","0","5","0"
